sample_id	Treatment	TimePoint	Treatment_TimePoint
SRR11615319	DMSO	0	DMSO_0
SRR11615320	DMSO	0	DMSO_0
SRR11615321	DMSO	0	DMSO_0
SRR11615328	DMSO	9	DMSO_9
SRR11615329	DMSO	9	DMSO_9
SRR11615330	DMSO	9	DMSO_9
SRR11615334	DMSO	24	DMSO_24
SRR11615335	DMSO	24	DMSO_24
SRR11615336	DMSO	24	DMSO_24
SRR11615337	T	0	T_0
SRR11615338	T	0	T_0
SRR11615339	T	0	T_0
SRR11615346	T	9	T_9
SRR11615347	T	9	T_9
SRR11615348	T	9	T_9
SRR11615352	T	24	T_24
SRR11615353	T	24	T_24
SRR11615354	T	24	T_24
SRR11615355	M	0	M_0
SRR11615356	M	0	M_0
SRR11615357	M	0	M_0
SRR11615364	M	9	M_9
SRR11615365	M	9	M_9
SRR11615366	M	9	M_9
SRR11615370	M	24	M_24
SRR11615371	M	24	M_24
SRR11615372	M	24	M_24
SRR11615391	TM	0	TM_0
SRR11615392	TM	0	TM_0
SRR11615393	TM	0	TM_0
SRR11615400	TM	9	TM_9
SRR11615401	TM	9	TM_9
SRR11615402	TM	9	TM_9
SRR11615406	TM	24	TM_24
SRR11615407	TM	24	TM_24
SRR11615408	TM	24	TM_24
SRR11615409	TW	0	TW_0
SRR11615410	TW	0	TW_0
SRR11615411	TW	0	TW_0
SRR11615418	TW	9	TW_9
SRR11615419	TW	9	TW_9
SRR11615420	TW	9	TW_9
SRR11615424	TW	24	TW_24
SRR11615425	TW	24	TW_24
SRR11615426	TW	24	TW_24
SRR11615427	MW	0	MW_0
SRR11615428	MW	0	MW_0
SRR11615429	MW	0	MW_0
SRR11615436	MW	9	MW_9
SRR11615437	MW	9	MW_9
SRR11615438	MW	9	MW_9
SRR11615442	MW	24	MW_24
SRR11615443	MW	24	MW_24
SRR11615444	MW	24	MW_24
